,precision,recall,f1-score,support
astro-ph.CO,0.0,0.0,0.0,0.0
astro-ph.EP,0.0,0.0,0.0,0.0
astro-ph.GA,0.0,0.0,0.0,0.0
astro-ph.HE,0.0,0.0,0.0,0.0
astro-ph.IM,0.0,0.0,0.0,0.0
astro-ph.SR,0.0,0.0,0.0,0.0
cond-mat.dis-nn,0.4642857142857143,0.3023255813953488,0.36619718309859156,43.0
cond-mat.mes-hall,0.5062761506276151,0.6797752808988764,0.580335731414868,178.0
cond-mat.mtrl-sci,0.6352201257861635,0.5372340425531915,0.5821325648414986,188.0
cond-mat.other,0.2727272727272727,0.03333333333333333,0.0594059405940594,90.0
cond-mat.quant-gas,0.0,0.0,0.0,0.0
cond-mat.soft,0.48514851485148514,0.5764705882352941,0.5268817204301075,85.0
cond-mat.stat-mech,0.4794520547945205,0.4166666666666667,0.445859872611465,168.0
cond-mat.str-el,0.6022727272727273,0.5760869565217391,0.5888888888888889,184.0
cond-mat.supr-con,0.7293233082706767,0.7348484848484849,0.7320754716981132,132.0
cs.AI,0.08333333333333333,0.07692307692307693,0.08,13.0
cs.AR,0.6,0.5,0.5454545454545454,6.0
cs.CC,0.7142857142857143,0.5555555555555556,0.625,9.0
cs.CE,0.0,0.0,0.0,1.0
cs.CG,0.0,0.0,0.0,5.0
cs.CL,0.2857142857142857,0.6666666666666666,0.4,3.0
cs.CR,0.5833333333333334,0.7777777777777778,0.6666666666666666,9.0
cs.CV,0.09090909090909091,0.14285714285714285,0.1111111111111111,7.0
cs.CY,0.2857142857142857,0.4,0.3333333333333333,5.0
cs.DB,0.2857142857142857,0.4,0.3333333333333333,5.0
cs.DC,0.5833333333333334,0.5384615384615384,0.56,13.0
cs.DL,0.0,0.0,0.0,0.0
cs.DM,0.0,0.0,0.0,17.0
cs.DS,0.4090909090909091,0.75,0.5294117647058824,12.0
cs.ET,0.0,0.0,0.0,0.0
cs.FL,0.0,0.0,0.0,0.0
cs.GL,0.0,0.0,0.0,0.0
cs.GR,0.0,0.0,0.0,1.0
cs.GT,0.8,0.6666666666666666,0.7272727272727273,6.0
cs.HC,0.42857142857142855,0.25,0.3157894736842105,12.0
cs.IR,0.16666666666666666,0.25,0.2,4.0
cs.IT,0.7333333333333333,0.8461538461538461,0.7857142857142857,65.0
cs.LG,0.35294117647058826,0.5454545454545454,0.42857142857142855,11.0
cs.LO,0.4782608695652174,0.55,0.5116279069767442,20.0
cs.MA,0.0,0.0,0.0,1.0
cs.MM,0.0,0.0,0.0,4.0
cs.MS,0.0,0.0,0.0,0.0
cs.NA,0.0,0.0,0.0,2.0
cs.NE,0.5,0.2,0.2857142857142857,10.0
cs.NI,0.75,0.45,0.5625,20.0
cs.OH,0.0,0.0,0.0,19.0
cs.OS,0.0,0.0,0.0,3.0
cs.PF,0.0,0.0,0.0,0.0
cs.PL,0.0,0.0,0.0,3.0
cs.RO,0.5,0.5,0.5,8.0
cs.SC,0.0,0.0,0.0,1.0
cs.SD,0.5,1.0,0.6666666666666666,1.0
cs.SE,0.2222222222222222,0.5,0.3076923076923077,4.0
cs.SI,0.0,0.0,0.0,0.0
cs.SY,0.0,0.0,0.0,0.0
econ.EM,0.0,0.0,0.0,0.0
econ.GN,0.0,0.0,0.0,0.0
econ.TH,0.0,0.0,0.0,0.0
eess.AS,0.0,0.0,0.0,0.0
eess.IV,0.0,0.0,0.0,0.0
eess.SP,0.0,0.0,0.0,0.0
eess.SY,0.0,0.0,0.0,0.0
gr-qc,0.6911764705882353,0.6911764705882353,0.6911764705882353,204.0
hep-ex,0.8148148148148148,0.6470588235294118,0.7213114754098361,102.0
hep-lat,0.7567567567567568,0.7777777777777778,0.7671232876712328,36.0
hep-ph,0.7962962962962963,0.8358531317494601,0.815595363540569,463.0
hep-th,0.6852300242130751,0.7883008356545961,0.7331606217616581,359.0
math-ph,0.3,0.226890756302521,0.2583732057416268,119.0
math.AC,0.47619047619047616,0.6666666666666666,0.5555555555555556,15.0
math.AG,0.7142857142857143,0.7142857142857143,0.7142857142857143,133.0
math.AP,0.5471698113207547,0.7435897435897436,0.6304347826086957,78.0
math.AT,0.6296296296296297,0.5483870967741935,0.5862068965517241,31.0
math.CA,0.4074074074074074,0.275,0.3283582089552239,40.0
math.CO,0.5819672131147541,0.7244897959183674,0.6454545454545455,98.0
math.CT,0.5,0.5,0.5,8.0
math.CV,0.6470588235294118,0.5,0.5641025641025641,44.0
math.DG,0.6260162601626016,0.7264150943396226,0.6724890829694323,106.0
math.DS,0.5,0.49056603773584906,0.49523809523809526,53.0
math.FA,0.5686274509803921,0.6041666666666666,0.5858585858585859,48.0
math.GM,0.16666666666666666,0.0625,0.09090909090909091,16.0
math.GN,0.3333333333333333,0.14285714285714285,0.2,7.0
math.GR,0.5428571428571428,0.5277777777777778,0.5352112676056338,36.0
math.GT,0.5641025641025641,0.6285714285714286,0.5945945945945946,35.0
math.HO,0.14285714285714285,0.14285714285714285,0.14285714285714285,7.0
math.KT,0.5,0.14285714285714285,0.2222222222222222,14.0
math.LO,0.4666666666666667,0.5,0.4827586206896552,14.0
math.MG,0.4,0.26666666666666666,0.32,15.0
math.NA,0.4782608695652174,0.5789473684210527,0.5238095238095238,19.0
math.NT,0.6511627906976745,0.7671232876712328,0.7044025157232704,73.0
math.OA,0.7272727272727273,0.5517241379310345,0.6274509803921569,29.0
math.OC,0.34782608695652173,0.4,0.37209302325581395,20.0
math.PR,0.5691056910569106,0.7608695652173914,0.6511627906976745,92.0
math.QA,0.4117647058823529,0.4,0.4057971014492754,35.0
math.RA,0.4166666666666667,0.43478260869565216,0.425531914893617,23.0
math.RT,0.4444444444444444,0.5106382978723404,0.4752475247524752,47.0
math.SG,0.36363636363636365,0.4444444444444444,0.4,9.0
math.SP,0.8,0.5714285714285714,0.6666666666666666,14.0
math.ST,0.7872340425531915,0.6491228070175439,0.7115384615384616,57.0
nlin.AO,0.0,0.0,0.0,4.0
nlin.CD,0.38095238095238093,0.25806451612903225,0.3076923076923077,31.0
nlin.CG,0.5,0.3333333333333333,0.4,3.0
nlin.PS,0.2727272727272727,0.2,0.23076923076923078,15.0
nlin.SI,0.42857142857142855,0.23076923076923078,0.3,26.0
nucl-ex,0.7941176470588235,0.45,0.574468085106383,60.0
nucl-th,0.6422018348623854,0.6796116504854369,0.660377358490566,103.0
physics.acc-ph,0.625,0.7142857142857143,0.6666666666666666,7.0
physics.ao-ph,0.6,0.3,0.4,10.0
physics.app-ph,0.0,0.0,0.0,0.0
physics.atm-clus,0.0,0.0,0.0,1.0
physics.atom-ph,0.4807692307692308,0.5681818181818182,0.5208333333333334,44.0
physics.bio-ph,0.22727272727272727,0.3333333333333333,0.2702702702702703,15.0
physics.chem-ph,0.25,0.1875,0.21428571428571427,16.0
physics.class-ph,0.16666666666666666,0.043478260869565216,0.06896551724137931,23.0
physics.comp-ph,0.0,0.0,0.0,7.0
physics.data-an,0.0,0.0,0.0,13.0
physics.ed-ph,0.5,0.42857142857142855,0.46153846153846156,7.0
physics.flu-dyn,0.4444444444444444,0.5882352941176471,0.5063291139240507,34.0
physics.gen-ph,0.6111111111111112,0.171875,0.2682926829268293,64.0
