,precision,recall,f1-score,support
astro-ph.CO,0.0,0.0,0.0,0.0
astro-ph.EP,0.0,0.0,0.0,0.0
astro-ph.GA,0.0,0.0,0.0,0.0
astro-ph.HE,0.0,0.0,0.0,0.0
astro-ph.IM,0.0,0.0,0.0,0.0
astro-ph.SR,0.0,0.0,0.0,0.0
cond-mat.dis-nn,0.4375,0.32558139534883723,0.37333333333333335,43.0
cond-mat.mes-hall,0.5502392344497608,0.6460674157303371,0.5943152454780362,178.0
cond-mat.mtrl-sci,0.6184971098265896,0.5691489361702128,0.592797783933518,188.0
cond-mat.other,0.2222222222222222,0.044444444444444446,0.07407407407407407,90.0
cond-mat.quant-gas,0.0,0.0,0.0,0.0
cond-mat.soft,0.5048543689320388,0.611764705882353,0.5531914893617021,85.0
cond-mat.stat-mech,0.49142857142857144,0.5119047619047619,0.5014577259475219,168.0
cond-mat.str-el,0.6033519553072626,0.5869565217391305,0.5950413223140496,184.0
cond-mat.supr-con,0.7480314960629921,0.7196969696969697,0.7335907335907336,132.0
cs.AI,0.26666666666666666,0.3076923076923077,0.2857142857142857,13.0
cs.AR,0.5,0.16666666666666666,0.25,6.0
cs.CC,0.6,0.3333333333333333,0.42857142857142855,9.0
cs.CE,0.0,0.0,0.0,1.0
cs.CG,0.2857142857142857,0.4,0.3333333333333333,5.0
cs.CL,0.125,0.3333333333333333,0.18181818181818182,3.0
cs.CR,0.47058823529411764,0.8888888888888888,0.6153846153846154,9.0
cs.CV,0.09090909090909091,0.14285714285714285,0.1111111111111111,7.0
cs.CY,0.3333333333333333,0.4,0.36363636363636365,5.0
cs.DB,0.6,0.6,0.6,5.0
cs.DC,0.5,0.38461538461538464,0.43478260869565216,13.0
cs.DL,0.0,0.0,0.0,0.0
cs.DM,0.1111111111111111,0.058823529411764705,0.07692307692307693,17.0
cs.DS,0.4,0.6666666666666666,0.5,12.0
cs.ET,0.0,0.0,0.0,0.0
cs.FL,0.0,0.0,0.0,0.0
cs.GL,0.0,0.0,0.0,0.0
cs.GR,0.0,0.0,0.0,1.0
cs.GT,0.75,0.5,0.6,6.0
cs.HC,0.36363636363636365,0.3333333333333333,0.34782608695652173,12.0
cs.IR,0.6666666666666666,0.5,0.5714285714285714,4.0
cs.IT,0.7123287671232876,0.8,0.7536231884057971,65.0
cs.LG,0.2727272727272727,0.5454545454545454,0.36363636363636365,11.0
cs.LO,0.4782608695652174,0.55,0.5116279069767442,20.0
cs.MA,0.0,0.0,0.0,1.0
cs.MM,0.0,0.0,0.0,4.0
cs.MS,0.0,0.0,0.0,0.0
cs.NA,0.0,0.0,0.0,2.0
cs.NE,0.5,0.3,0.375,10.0
cs.NI,0.6,0.3,0.4,20.0
cs.OH,0.0,0.0,0.0,19.0
cs.OS,0.0,0.0,0.0,3.0
cs.PF,0.0,0.0,0.0,0.0
cs.PL,0.5,0.6666666666666666,0.5714285714285714,3.0
cs.RO,0.5,0.5,0.5,8.0
cs.SC,0.0,0.0,0.0,1.0
cs.SD,0.0,0.0,0.0,1.0
cs.SE,0.5,0.75,0.6,4.0
cs.SI,0.0,0.0,0.0,0.0
cs.SY,0.0,0.0,0.0,0.0
econ.EM,0.0,0.0,0.0,0.0
econ.GN,0.0,0.0,0.0,0.0
econ.TH,0.0,0.0,0.0,0.0
eess.AS,0.0,0.0,0.0,0.0
eess.IV,0.0,0.0,0.0,0.0
eess.SP,0.0,0.0,0.0,0.0
eess.SY,0.0,0.0,0.0,0.0
gr-qc,0.6338028169014085,0.6617647058823529,0.6474820143884892,204.0
hep-ex,0.8470588235294118,0.7058823529411765,0.7700534759358288,102.0
hep-lat,0.6585365853658537,0.75,0.7012987012987013,36.0
hep-ph,0.7963709677419355,0.8531317494600432,0.8237747653806048,463.0
hep-th,0.7297297297297297,0.7520891364902507,0.7407407407407407,359.0
math-ph,0.2553191489361702,0.20168067226890757,0.22535211267605634,119.0
math.AC,0.391304347826087,0.6,0.47368421052631576,15.0
math.AG,0.7272727272727273,0.6616541353383458,0.6929133858267716,133.0
math.AP,0.6041666666666666,0.7435897435897436,0.6666666666666666,78.0
math.AT,0.6296296296296297,0.5483870967741935,0.5862068965517241,31.0
math.CA,0.325,0.325,0.325,40.0
math.CO,0.5652173913043478,0.6632653061224489,0.6103286384976526,98.0
math.CT,0.8571428571428571,0.75,0.8,8.0
math.CV,0.6333333333333333,0.4318181818181818,0.5135135135135135,44.0
math.DG,0.7037037037037037,0.7169811320754716,0.7102803738317757,106.0
math.DS,0.4444444444444444,0.6037735849056604,0.512,53.0
math.FA,0.5357142857142857,0.625,0.5769230769230769,48.0
math.GM,0.6666666666666666,0.125,0.21052631578947367,16.0
math.GN,0.6,0.42857142857142855,0.5,7.0
math.GR,0.5675675675675675,0.5833333333333334,0.5753424657534246,36.0
math.GT,0.575,0.6571428571428571,0.6133333333333333,35.0
math.HO,0.25,0.2857142857142857,0.26666666666666666,7.0
math.KT,0.4,0.14285714285714285,0.21052631578947367,14.0
math.LO,0.6363636363636364,0.5,0.56,14.0
math.MG,0.14285714285714285,0.06666666666666667,0.09090909090909091,15.0
math.NA,0.3793103448275862,0.5789473684210527,0.4583333333333333,19.0
math.NT,0.6547619047619048,0.7534246575342466,0.7006369426751592,73.0
math.OA,0.5925925925925926,0.5517241379310345,0.5714285714285714,29.0
math.OC,0.3333333333333333,0.45,0.3829787234042553,20.0
math.PR,0.5701754385964912,0.7065217391304348,0.6310679611650486,92.0
math.QA,0.5555555555555556,0.42857142857142855,0.4838709677419355,35.0
math.RA,0.3333333333333333,0.5652173913043478,0.41935483870967744,23.0
math.RT,0.5208333333333334,0.5319148936170213,0.5263157894736842,47.0
math.SG,0.4,0.6666666666666666,0.5,9.0
math.SP,0.25,0.07142857142857142,0.1111111111111111,14.0
math.ST,0.7058823529411765,0.42105263157894735,0.5274725274725275,57.0
nlin.AO,0.0,0.0,0.0,4.0
nlin.CD,0.4375,0.22580645161290322,0.2978723404255319,31.0
nlin.CG,0.0,0.0,0.0,3.0
nlin.PS,0.7,0.4666666666666667,0.56,15.0
nlin.SI,0.5714285714285714,0.3076923076923077,0.4,26.0
nucl-ex,0.7297297297297297,0.45,0.5567010309278351,60.0
nucl-th,0.6754385964912281,0.7475728155339806,0.7096774193548387,103.0
physics.acc-ph,0.4166666666666667,0.7142857142857143,0.5263157894736842,7.0
physics.ao-ph,0.6,0.6,0.6,10.0
physics.app-ph,0.0,0.0,0.0,0.0
physics.atm-clus,0.0,0.0,0.0,1.0
physics.atom-ph,0.39215686274509803,0.45454545454545453,0.42105263157894735,44.0
physics.bio-ph,0.25,0.26666666666666666,0.25806451612903225,15.0
physics.chem-ph,0.2857142857142857,0.125,0.17391304347826086,16.0
physics.class-ph,0.0,0.0,0.0,23.0
physics.comp-ph,0.0,0.0,0.0,7.0
physics.data-an,0.0,0.0,0.0,13.0
physics.ed-ph,0.5,0.2857142857142857,0.36363636363636365,7.0
physics.flu-dyn,0.4418604651162791,0.5588235294117647,0.4935064935064935,34.0
physics.gen-ph,0.18518518518518517,0.078125,0.10989010989010989,64.0
physics.geo-ph,0.42857142857142855,0.375,0.4,8.0
